n,dims,case,method_arg,trim,reported_method,k_steps,r_per_step,strips_per_wg,time_s,gpoints_s,ms_per_step,bandwidth_gbs,gflops_s,returncode,command,layout
50,3,direct,0,,direct,1,4,2,0.008,1.520,0.082,12.2,88.2,0,STENCIL_BF16=1 ./stencil.x -m 0 -n 50 -d 3,XYZ
50,3,compact-r1,1,,compact-r1,4,1,2,0.002,7.615,0.016,60.9,441.7,0,STENCIL_BF16=1 ./stencil.x -m 1 -n 50 -d 3,XYZ
50,3,compact-r2,2,,compact-r2,2,2,2,0.002,7.535,0.017,60.3,437.0,0,STENCIL_BF16=1 ./stencil.x -m 2 -n 50 -d 3,XYZ
50,3,compact-r1-trim3,1,3,compact-r1,4,1,2,0.002,8.239,0.015,65.9,477.9,0,STENCIL_BF16=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 50 -d 3,XYZ
100,3,direct,0,,direct,1,4,2,0.009,10.899,0.092,87.2,632.1,0,STENCIL_BF16=1 ./stencil.x -m 0 -n 100 -d 3,XYZ
100,3,compact-r1,1,,compact-r1,4,1,2,0.009,10.912,0.092,87.3,632.9,0,STENCIL_BF16=1 ./stencil.x -m 1 -n 100 -d 3,XYZ
100,3,compact-r2,2,,compact-r2,2,2,2,0.009,10.820,0.092,86.6,627.6,0,STENCIL_BF16=1 ./stencil.x -m 2 -n 100 -d 3,XYZ
100,3,compact-r1-trim3,1,3,compact-r1,4,1,2,0.008,11.901,0.084,95.2,690.3,0,STENCIL_BF16=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 100 -d 3,XYZ
150,3,direct,0,,direct,1,4,2,0.021,15.833,0.213,126.7,918.3,0,STENCIL_BF16=1 ./stencil.x -m 0 -n 150 -d 3,XYZ
150,3,compact-r1,1,,compact-r1,4,1,2,0.021,16.163,0.209,129.3,937.5,0,STENCIL_BF16=1 ./stencil.x -m 1 -n 150 -d 3,XYZ
150,3,compact-r2,2,,compact-r2,2,2,2,0.021,15.757,0.214,126.1,913.9,0,STENCIL_BF16=1 ./stencil.x -m 2 -n 150 -d 3,XYZ
150,3,compact-r1-trim3,1,3,compact-r1,4,1,2,0.019,17.350,0.195,138.8,1006.3,0,STENCIL_BF16=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 150 -d 3,XYZ
200,3,direct,0,,direct,1,4,2,0.050,16.160,0.495,129.3,937.3,0,STENCIL_BF16=1 ./stencil.x -m 0 -n 200 -d 3,XYZ
200,3,compact-r1,1,,compact-r1,4,1,2,0.049,16.324,0.490,130.6,946.8,0,STENCIL_BF16=1 ./stencil.x -m 1 -n 200 -d 3,XYZ
200,3,compact-r2,2,,compact-r2,2,2,2,0.050,15.958,0.501,127.7,925.6,0,STENCIL_BF16=1 ./stencil.x -m 2 -n 200 -d 3,XYZ
200,3,compact-r1-trim3,1,3,compact-r1,4,1,2,0.045,17.680,0.452,141.4,1025.4,0,STENCIL_BF16=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 200 -d 3,XYZ
250,3,direct,0,,direct,1,4,2,0.087,17.986,0.869,143.9,1043.2,0,STENCIL_BF16=1 ./stencil.x -m 0 -n 250 -d 3,XYZ
250,3,compact-r1,1,,compact-r1,4,1,2,0.085,18.349,0.852,146.8,1064.2,0,STENCIL_BF16=1 ./stencil.x -m 1 -n 250 -d 3,XYZ
250,3,compact-r2,2,,compact-r2,2,2,2,0.087,18.003,0.868,144.0,1044.2,0,STENCIL_BF16=1 ./stencil.x -m 2 -n 250 -d 3,XYZ
250,3,compact-r1-trim3,1,3,compact-r1,4,1,2,0.079,19.880,0.786,159.0,1153.0,0,STENCIL_BF16=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 250 -d 3,XYZ
300,3,direct,0,,direct,1,4,2,0.162,16.685,1.618,133.5,967.7,0,STENCIL_BF16=1 ./stencil.x -m 0 -n 300 -d 3,XYZ
