n,dims,case,method_arg,trim,reported_method,k_steps,r_per_step,strips_per_wg,time_s,gpoints_s,ms_per_step,bandwidth_gbs,gflops_s,returncode,command,layout
50,3,direct,0,,direct,1,4,2,0.007,1.751,0.071,14.0,101.6,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 0 -n 50 -d 3,ZYX +PML
50,3,compact-r1,1,,compact-r1,4,1,2,0.004,3.005,0.042,24.0,174.3,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 1 -n 50 -d 3,ZYX +PML
50,3,compact-r2,2,,compact-r2,2,2,2,0.005,2.283,0.055,18.3,132.4,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 2 -n 50 -d 3,ZYX +PML
50,3,compact-fit,3,,compact-fit,2,3,2,0.007,1.708,0.073,13.7,99.1,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 50 -d 3,ZYX +PML
100,3,direct,0,,direct,1,4,2,0.013,7.692,0.130,61.5,446.1,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 0 -n 100 -d 3,ZYX +PML
100,3,compact-r1,1,,compact-r1,4,1,2,0.005,20.290,0.049,162.3,1176.8,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 1 -n 100 -d 3,ZYX +PML
100,3,compact-r2,2,,compact-r2,2,2,2,0.007,15.075,0.066,120.6,874.3,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 2 -n 100 -d 3,ZYX +PML
100,3,compact-fit,3,,compact-fit,2,3,2,0.015,6.496,0.154,52.0,376.8,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 100 -d 3,ZYX +PML
150,3,direct,0,,direct,1,4,2,0.020,16.478,0.205,131.8,955.7,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 0 -n 150 -d 3,ZYX +PML
150,3,compact-r1,1,,compact-r1,4,1,2,0.013,26.199,0.129,209.6,1519.5,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 1 -n 150 -d 3,ZYX +PML
150,3,compact-r2,2,,compact-r2,2,2,2,0.015,22.627,0.149,181.0,1312.4,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 2 -n 150 -d 3,ZYX +PML
150,3,compact-fit,3,,compact-fit,2,3,2,0.031,10.750,0.314,86.0,623.5,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 150 -d 3,ZYX +PML
200,3,direct,0,,direct,1,4,2,0.052,15.516,0.516,124.1,899.9,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 0 -n 200 -d 3,ZYX +PML
200,3,compact-r1,1,,compact-r1,4,1,2,0.031,26.208,0.305,209.7,1520.1,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 1 -n 200 -d 3,ZYX +PML
200,3,compact-r2,2,,compact-r2,2,2,2,0.033,24.278,0.330,194.2,1408.1,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 2 -n 200 -d 3,ZYX +PML
200,3,compact-fit,3,,compact-fit,2,3,2,0.047,17.115,0.467,136.9,992.7,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 200 -d 3,ZYX +PML
250,3,direct,0,,direct,1,4,2,0.082,19.063,0.820,152.5,1105.7,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 0 -n 250 -d 3,ZYX +PML
250,3,compact-r1,1,,compact-r1,4,1,2,0.051,30.915,0.505,247.3,1793.1,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 1 -n 250 -d 3,ZYX +PML
250,3,compact-r2,2,,compact-r2,2,2,2,0.054,28.933,0.540,231.5,1678.1,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 2 -n 250 -d 3,ZYX +PML
250,3,compact-fit,3,,compact-fit,2,3,2,0.075,20.733,0.754,165.9,1202.5,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 250 -d 3,ZYX +PML
300,3,direct,0,,direct,1,4,2,0.139,19.487,1.386,155.9,1130.2,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 0 -n 300 -d 3,ZYX +PML
300,3,compact-r1,1,,compact-r1,4,1,2,0.078,34.689,0.778,277.5,2012.0,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 1 -n 300 -d 3,ZYX +PML
300,3,compact-r2,2,,compact-r2,2,2,2,0.085,31.616,0.854,252.9,1833.7,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 2 -n 300 -d 3,ZYX +PML
300,3,compact-fit,3,,compact-fit,2,3,2,0.136,19.865,1.359,158.9,1152.2,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 300 -d 3,ZYX +PML
350,3,direct,0,,direct,1,4,2,0.203,21.166,2.026,169.3,1227.6,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 0 -n 350 -d 3,ZYX +PML
350,3,compact-r1,1,,compact-r1,4,1,2,0.124,34.518,1.242,276.1,2002.0,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 1 -n 350 -d 3,ZYX +PML
350,3,compact-r2,2,,compact-r2,2,2,2,0.131,32.804,1.307,262.4,1902.6,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 2 -n 350 -d 3,ZYX +PML
350,3,compact-fit,3,,compact-fit,2,3,2,0.198,21.636,1.982,173.1,1254.9,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 350 -d 3,ZYX +PML
400,3,direct,0,,direct,1,4,2,0.308,20.785,3.079,166.3,1205.5,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 0 -n 400 -d 3,ZYX +PML
400,3,compact-r1,1,,compact-r1,4,1,2,0.173,37.040,1.728,296.3,2148.3,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 1 -n 400 -d 3,ZYX +PML
400,3,compact-r2,2,,compact-r2,2,2,2,0.195,32.833,1.949,262.7,1904.3,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 2 -n 400 -d 3,ZYX +PML
