n,dims,case,method_arg,trim,reported_method,k_steps,r_per_step,strips_per_wg,time_s,gpoints_s,ms_per_step,bandwidth_gbs,gflops_s,returncode,command,layout
50,3,direct,0,,direct,1,4,2,0.009,1.359,0.092,10.9,78.8,0,./stencil.x -m 0 -n 50 -d 3,XYZ
50,3,compact-r1,1,,compact-r1,4,1,2,0.002,7.851,0.016,62.8,455.4,0,./stencil.x -m 1 -n 50 -d 3,XYZ
50,3,compact-r2,2,,compact-r2,2,2,2,0.002,8.249,0.015,66.0,478.4,0,./stencil.x -m 2 -n 50 -d 3,XYZ
50,3,compact-fit,3,,compact-fit,2,3,2,0.002,5.296,0.024,42.4,307.2,0,./stencil.x -m 3 -n 50 -d 3,XYZ
100,3,direct,0,,direct,1,4,2,0.004,24.608,0.041,196.9,1427.3,0,./stencil.x -m 0 -n 100 -d 3,XYZ
100,3,compact-r1,1,,compact-r1,4,1,2,0.002,45.657,0.022,365.3,2648.1,0,./stencil.x -m 1 -n 100 -d 3,XYZ
100,3,compact-r2,2,,compact-r2,2,2,2,0.002,46.640,0.021,373.1,2705.1,0,./stencil.x -m 2 -n 100 -d 3,XYZ
100,3,compact-fit,3,,compact-fit,2,3,2,0.005,22.112,0.045,176.9,1282.5,0,./stencil.x -m 3 -n 100 -d 3,XYZ
150,3,direct,0,,direct,1,4,2,0.010,32.970,0.102,263.8,1912.3,0,./stencil.x -m 0 -n 150 -d 3,XYZ
150,3,compact-r1,1,,compact-r1,4,1,2,0.010,33.927,0.099,271.4,1967.8,0,./stencil.x -m 1 -n 150 -d 3,XYZ
150,3,compact-r2,2,,compact-r2,2,2,2,0.010,33.640,0.100,269.1,1951.1,0,./stencil.x -m 2 -n 150 -d 3,XYZ
150,3,compact-fit,3,,compact-fit,2,3,2,0.010,33.315,0.101,266.5,1932.3,0,./stencil.x -m 3 -n 150 -d 3,XYZ
200,3,direct,0,,direct,1,4,2,0.024,32.977,0.243,263.8,1912.7,0,./stencil.x -m 0 -n 200 -d 3,XYZ
200,3,compact-r1,1,,compact-r1,4,1,2,0.024,33.755,0.237,270.0,1957.8,0,./stencil.x -m 1 -n 200 -d 3,XYZ
200,3,compact-r2,2,,compact-r2,2,2,2,0.024,33.698,0.237,269.6,1954.5,0,./stencil.x -m 2 -n 200 -d 3,XYZ
200,3,compact-fit,3,,compact-fit,2,3,2,0.024,32.672,0.245,261.4,1895.0,0,./stencil.x -m 3 -n 200 -d 3,XYZ
250,3,direct,0,,direct,1,4,2,0.047,33.189,0.471,265.5,1925.0,0,./stencil.x -m 0 -n 250 -d 3,XYZ
