n,dims,case,method_arg,trim,reported_method,k_steps,r_per_step,strips_per_wg,time_s,gpoints_s,ms_per_step,bandwidth_gbs,gflops_s,returncode,command
200,3,direct,0,,direct,1,4,2,0.107,7.485,1.069,59.9,434.1,0,./stencil.x -m 0 -n 200 -d 3
200,3,staged-r1,1,,staged-r1,4,1,2,0.105,7.585,1.055,60.7,439.9,0,./stencil.x -m 1 -n 200 -d 3
200,3,staged-r2,2,,staged-r2,2,2,2,0.107,7.473,1.070,59.8,433.4,0,./stencil.x -m 2 -n 200 -d 3
200,3,staged-r1-trim3,1,3,staged-r1,4,1,2,0.099,8.094,0.988,64.8,469.5,0,STENCIL_TRIM=3 ./stencil.x -m 1 -n 200 -d 3
250,3,direct,0,,direct,1,4,2,0.190,8.224,1.900,65.8,477.0,0,./stencil.x -m 0 -n 250 -d 3
250,3,staged-r1,1,,staged-r1,4,1,2,0.186,8.392,1.862,67.1,486.7,0,./stencil.x -m 1 -n 250 -d 3
250,3,staged-r2,2,,staged-r2,2,2,2,0.189,8.287,1.886,66.3,480.6,0,./stencil.x -m 2 -n 250 -d 3
250,3,staged-r1-trim3,1,3,staged-r1,4,1,2,0.177,8.827,1.770,70.6,512.0,0,STENCIL_TRIM=3 ./stencil.x -m 1 -n 250 -d 3
300,3,direct,0,,direct,1,4,2,0.336,8.045,3.356,64.4,466.6,0,./stencil.x -m 0 -n 300 -d 3
300,3,staged-r1,1,,staged-r1,4,1,2,0.329,8.203,3.292,65.6,475.8,0,./stencil.x -m 1 -n 300 -d 3
300,3,staged-r2,2,,staged-r2,2,2,2,0.334,8.089,3.338,64.7,469.2,0,./stencil.x -m 2 -n 300 -d 3
300,3,staged-r1-trim3,1,3,staged-r1,4,1,2,0.312,8.661,3.117,69.3,502.3,0,STENCIL_TRIM=3 ./stencil.x -m 1 -n 300 -d 3
350,3,direct,0,,direct,1,4,2,0.503,8.531,5.026,68.2,494.8,0,./stencil.x -m 0 -n 350 -d 3
350,3,staged-r1,1,,staged-r1,4,1,2,0.493,8.696,4.931,69.6,504.4,0,./stencil.x -m 1 -n 350 -d 3
350,3,staged-r2,2,,staged-r2,2,2,2,0.503,8.532,5.025,68.3,494.9,0,./stencil.x -m 2 -n 350 -d 3
350,3,staged-r1-trim3,1,3,staged-r1,4,1,2,0.471,9.103,4.710,72.8,528.0,0,STENCIL_TRIM=3 ./stencil.x -m 1 -n 350 -d 3
400,3,direct,0,,direct,1,4,2,0.710,9.009,7.104,72.1,522.5,0,./stencil.x -m 0 -n 400 -d 3
