n,dims,case,method_arg,trim,reported_method,k_steps,r_per_step,strips_per_wg,time_s,gpoints_s,ms_per_step,bandwidth_gbs,gflops_s,returncode,command
200,3,direct,0,,direct,1,4,2,0.038,21.318,0.375,170.5,1236.4,0,./stencil.x -m 0 -n 200 -d 3
200,3,staged-r1,1,,staged-r1,4,1,2,0.037,21.869,0.366,175.0,1268.4,0,./stencil.x -m 1 -n 200 -d 3
200,3,staged-r2,2,,staged-r2,2,2,2,0.036,22.406,0.357,179.2,1299.5,0,./stencil.x -m 2 -n 200 -d 3
250,3,direct,0,,direct,1,4,2,0.073,21.319,0.733,170.6,1236.5,0,./stencil.x -m 0 -n 250 -d 3
250,3,staged-r1,1,,staged-r1,4,1,2,0.072,21.806,0.717,174.4,1264.7,0,./stencil.x -m 1 -n 250 -d 3
250,3,staged-r2,2,,staged-r2,2,2,2,0.072,21.650,0.722,173.2,1255.7,0,./stencil.x -m 2 -n 250 -d 3
300,3,direct,0,,direct,1,4,2,0.127,21.279,1.269,170.2,1234.2,0,./stencil.x -m 0 -n 300 -d 3
300,3,staged-r1,1,,staged-r1,4,1,2,0.122,22.149,1.219,177.2,1284.6,0,./stencil.x -m 1 -n 300 -d 3
300,3,staged-r2,2,,staged-r2,2,2,2,0.123,21.896,1.233,175.2,1270.0,0,./stencil.x -m 2 -n 300 -d 3
350,3,direct,0,,direct,1,4,2,0.205,20.873,2.054,167.0,1210.6,0,./stencil.x -m 0 -n 350 -d 3
350,3,staged-r1,1,,staged-r1,4,1,2,0.197,21.782,1.968,174.3,1263.4,0,./stencil.x -m 1 -n 350 -d 3
350,3,staged-r2,2,,staged-r2,2,2,2,0.200,21.438,2.000,171.5,1243.4,0,./stencil.x -m 2 -n 350 -d 3
400,3,direct,0,,direct,1,4,2,0.277,23.127,2.767,185.0,1341.4,0,./stencil.x -m 0 -n 400 -d 3
400,3,staged-r1,1,,staged-r1,4,1,2,0.266,24.019,2.665,192.2,1393.1,0,./stencil.x -m 1 -n 400 -d 3
400,3,staged-r2,2,,staged-r2,2,2,2,0.272,23.560,2.716,188.5,1366.5,0,./stencil.x -m 2 -n 400 -d 3
450,3,direct,0,,direct,1,4,2,0.441,20.671,4.408,165.4,1198.9,0,./stencil.x -m 0 -n 450 -d 3
450,3,staged-r1,1,,staged-r1,4,1,2,0.423,21.544,4.230,172.3,1249.6,0,./stencil.x -m 1 -n 450 -d 3
450,3,staged-r2,2,,staged-r2,2,2,2,0.428,21.279,4.282,170.2,1234.2,0,./stencil.x -m 2 -n 450 -d 3
500,3,direct,0,,direct,1,4,2,0.588,21.254,5.881,170.0,1232.7,0,./stencil.x -m 0 -n 500 -d 3
500,3,staged-r1,1,,staged-r1,4,1,2,0.563,22.220,5.626,177.8,1288.8,0,./stencil.x -m 1 -n 500 -d 3
500,3,staged-r2,2,,staged-r2,2,2,2,0.571,21.908,5.706,175.3,1270.7,0,./stencil.x -m 2 -n 500 -d 3
550,3,direct,0,,direct,1,4,2,0.797,20.876,7.970,167.0,1210.8,0,./stencil.x -m 0 -n 550 -d 3
550,3,staged-r1,1,,staged-r1,4,1,2,0.763,21.806,7.630,174.4,1264.7,0,./stencil.x -m 1 -n 550 -d 3
550,3,staged-r2,2,,staged-r2,2,2,2,0.774,21.497,7.739,172.0,1246.8,0,./stencil.x -m 2 -n 550 -d 3
600,3,direct,0,,direct,1,4,2,1.008,21.438,10.075,171.5,1243.4,0,./stencil.x -m 0 -n 600 -d 3
600,3,staged-r1,1,,staged-r1,4,1,2,0.950,22.747,9.496,182.0,1319.3,0,./stencil.x -m 1 -n 600 -d 3
600,3,staged-r2,2,,staged-r2,2,2,2,0.967,22.343,9.667,178.7,1295.9,0,./stencil.x -m 2 -n 600 -d 3
650,3,direct,0,,direct,1,4,2,1.350,20.337,13.503,162.7,1179.5,0,./stencil.x -m 0 -n 650 -d 3
650,3,staged-r1,1,,staged-r1,4,1,2,1.283,21.412,12.826,171.3,1241.9,0,./stencil.x -m 1 -n 650 -d 3
650,3,staged-r2,2,,staged-r2,2,2,2,1.298,21.165,12.975,169.3,1227.6,0,./stencil.x -m 2 -n 650 -d 3
700,3,direct,0,,direct,1,4,2,1.633,21.004,16.330,168.0,1218.2,0,./stencil.x -m 0 -n 700 -d 3
700,3,staged-r1,1,,staged-r1,4,1,2,1.555,22.053,15.554,176.4,1279.1,0,./stencil.x -m 1 -n 700 -d 3
700,3,staged-r2,2,,staged-r2,2,2,2,1.579,21.723,15.790,173.8,1259.9,0,./stencil.x -m 2 -n 700 -d 3
750,3,direct,0,,direct,1,4,2,2.055,20.531,20.548,164.2,1190.8,0,./stencil.x -m 0 -n 750 -d 3
750,3,staged-r1,1,,staged-r1,4,1,2,1.950,21.639,19.496,173.1,1255.1,0,./stencil.x -m 1 -n 750 -d 3
750,3,staged-r2,2,,staged-r2,2,2,2,1.979,21.323,19.785,170.6,1236.7,0,./stencil.x -m 2 -n 750 -d 3
800,3,direct,0,,direct,1,4,2,2.278,22.480,22.776,179.8,1303.8,0,./stencil.x -m 0 -n 800 -d 3
800,3,staged-r1,1,,staged-r1,4,1,2,2.140,23.926,21.399,191.4,1387.7,0,./stencil.x -m 1 -n 800 -d 3
800,3,staged-r2,2,,staged-r2,2,2,2,2.178,23.507,21.780,188.1,1363.4,0,./stencil.x -m 2 -n 800 -d 3
850,3,direct,0,,direct,1,4,2,3.137,19.576,31.371,156.6,1135.4,0,./stencil.x -m 0 -n 850 -d 3
850,3,staged-r1,1,,staged-r1,4,1,2,2.869,21.408,28.687,171.3,1241.7,0,./stencil.x -m 1 -n 850 -d 3
850,3,staged-r2,2,,staged-r2,2,2,2,2.939,20.897,29.388,167.2,1212.0,0,./stencil.x -m 2 -n 850 -d 3
