n,dims,case,method_arg,trim,reported_method,k_steps,r_per_step,strips_per_wg,time_s,gpoints_s,ms_per_step,bandwidth_gbs,gflops_s,returncode,command
50,3,direct,0,,direct,1,4,2,0.011,1.105,0.113,8.8,64.1,0,STENCIL_INT8=1 ./stencil.x -m 0 -n 50 -d 3
50,3,compact-r1,1,,compact-r1,4,1,2,0.010,1.248,0.100,10.0,72.4,0,STENCIL_INT8=1 ./stencil.x -m 1 -n 50 -d 3
50,3,compact-r2,2,,compact-r2,2,2,2,0.010,1.313,0.095,10.5,76.2,0,STENCIL_INT8=1 ./stencil.x -m 2 -n 50 -d 3
50,3,compact-r1-trim3,1,3,compact-r1,4,1,2,0.007,1.761,0.071,14.1,102.1,0,STENCIL_INT8=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 50 -d 3
100,3,direct,0,,direct,1,4,2,0.035,2.886,0.347,23.1,167.4,0,STENCIL_INT8=1 ./stencil.x -m 0 -n 100 -d 3
100,3,compact-r1,1,,compact-r1,4,1,2,0.026,3.915,0.255,31.3,227.1,0,STENCIL_INT8=1 ./stencil.x -m 1 -n 100 -d 3
100,3,compact-r2,2,,compact-r2,2,2,2,0.027,3.642,0.275,29.1,211.2,0,STENCIL_INT8=1 ./stencil.x -m 2 -n 100 -d 3
100,3,compact-r1-trim3,1,3,compact-r1,4,1,2,0.022,4.469,0.224,35.8,259.2,0,STENCIL_INT8=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 100 -d 3
150,3,direct,0,,direct,1,4,2,0.065,5.207,0.648,41.7,302.0,0,STENCIL_INT8=1 ./stencil.x -m 0 -n 150 -d 3
150,3,compact-r1,1,,compact-r1,4,1,2,0.060,5.608,0.602,44.9,325.3,0,STENCIL_INT8=1 ./stencil.x -m 1 -n 150 -d 3
150,3,compact-r2,2,,compact-r2,2,2,2,0.063,5.322,0.634,42.6,308.7,0,STENCIL_INT8=1 ./stencil.x -m 2 -n 150 -d 3
150,3,compact-r1-trim3,1,3,compact-r1,4,1,2,0.055,6.096,0.554,48.8,353.6,0,STENCIL_INT8=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 150 -d 3
200,3,direct,0,,direct,1,4,2,0.157,5.089,1.572,40.7,295.2,0,STENCIL_INT8=1 ./stencil.x -m 0 -n 200 -d 3
200,3,compact-r1,1,,compact-r1,4,1,2,0.143,5.609,1.426,44.9,325.3,0,STENCIL_INT8=1 ./stencil.x -m 1 -n 200 -d 3
200,3,compact-r2,2,,compact-r2,2,2,2,0.151,5.298,1.510,42.4,307.3,0,STENCIL_INT8=1 ./stencil.x -m 2 -n 200 -d 3
200,3,compact-r1-trim3,1,3,compact-r1,4,1,2,0.123,6.488,1.233,51.9,376.3,0,STENCIL_INT8=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 200 -d 3
250,3,direct,0,,direct,1,4,2,0.261,5.986,2.610,47.9,347.2,0,STENCIL_INT8=1 ./stencil.x -m 0 -n 250 -d 3
250,3,compact-r1,1,,compact-r1,4,1,2,0.241,6.476,2.413,51.8,375.6,0,STENCIL_INT8=1 ./stencil.x -m 1 -n 250 -d 3
250,3,compact-r2,2,,compact-r2,2,2,2,0.253,6.170,2.532,49.4,357.9,0,STENCIL_INT8=1 ./stencil.x -m 2 -n 250 -d 3
250,3,compact-r1-trim3,1,3,compact-r1,4,1,2,0.213,7.341,2.128,58.7,425.8,0,STENCIL_INT8=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 250 -d 3
300,3,direct,0,,direct,1,4,2,0.477,5.660,4.770,45.3,328.3,0,STENCIL_INT8=1 ./stencil.x -m 0 -n 300 -d 3
300,3,compact-r1,1,,compact-r1,4,1,2,0.445,6.073,4.446,48.6,352.2,0,STENCIL_INT8=1 ./stencil.x -m 1 -n 300 -d 3
300,3,compact-r2,2,,compact-r2,2,2,2,0.464,5.816,4.642,46.5,337.3,0,STENCIL_INT8=1 ./stencil.x -m 2 -n 300 -d 3
