n,dims,case,method_arg,trim,reported_method,k_steps,r_per_step,strips_per_wg,time_s,gpoints_s,ms_per_step,bandwidth_gbs,gflops_s,returncode,command,layout
50,3,direct,0,,direct,1,4,2,0.003,4.244,0.029,34.0,246.2,0,STENCIL_BF16=1 ./stencil.x -m 0 -n 50 -d 3,XYZ
50,3,compact-r1,1,,compact-r1,4,1,2,0.003,4.089,0.031,32.7,237.2,0,STENCIL_BF16=1 ./stencil.x -m 1 -n 50 -d 3,XYZ
50,3,compact-r2,2,,compact-r2,2,2,2,0.003,4.022,0.031,32.2,233.3,0,STENCIL_BF16=1 ./stencil.x -m 2 -n 50 -d 3,XYZ
50,3,compact-r1-trim3,1,3,compact-r1,4,1,2,0.003,4.440,0.028,35.5,257.5,0,STENCIL_BF16=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 50 -d 3,XYZ
100,3,direct,0,,direct,1,4,2,0.010,10.446,0.096,83.6,605.9,0,STENCIL_BF16=1 ./stencil.x -m 0 -n 100 -d 3,XYZ
100,3,compact-r1,1,,compact-r1,4,1,2,0.009,11.076,0.090,88.6,642.4,0,STENCIL_BF16=1 ./stencil.x -m 1 -n 100 -d 3,XYZ
100,3,compact-r2,2,,compact-r2,2,2,2,0.009,10.542,0.095,84.3,611.4,0,STENCIL_BF16=1 ./stencil.x -m 2 -n 100 -d 3,XYZ
100,3,compact-r1-trim3,1,3,compact-r1,4,1,2,0.008,11.929,0.084,95.4,691.9,0,STENCIL_BF16=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 100 -d 3,XYZ
150,3,direct,0,,direct,1,4,2,0.021,15.731,0.215,125.8,912.4,0,STENCIL_BF16=1 ./stencil.x -m 0 -n 150 -d 3,XYZ
150,3,compact-r1,1,,compact-r1,4,1,2,0.020,16.639,0.203,133.1,965.1,0,STENCIL_BF16=1 ./stencil.x -m 1 -n 150 -d 3,XYZ
150,3,compact-r2,2,,compact-r2,2,2,2,0.021,15.981,0.211,127.9,926.9,0,STENCIL_BF16=1 ./stencil.x -m 2 -n 150 -d 3,XYZ
150,3,compact-r1-trim3,1,3,compact-r1,4,1,2,0.019,17.682,0.191,141.5,1025.6,0,STENCIL_BF16=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 150 -d 3,XYZ
200,3,direct,0,,direct,1,4,2,0.046,17.420,0.459,139.4,1010.4,0,STENCIL_BF16=1 ./stencil.x -m 0 -n 200 -d 3,XYZ
200,3,compact-r1,1,,compact-r1,4,1,2,0.044,18.135,0.441,145.1,1051.8,0,STENCIL_BF16=1 ./stencil.x -m 1 -n 200 -d 3,XYZ
200,3,compact-r2,2,,compact-r2,2,2,2,0.045,17.629,0.454,141.0,1022.5,0,STENCIL_BF16=1 ./stencil.x -m 2 -n 200 -d 3,XYZ
200,3,compact-r1-trim3,1,3,compact-r1,4,1,2,0.041,19.605,0.408,156.8,1137.1,0,STENCIL_BF16=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 200 -d 3,XYZ
250,3,direct,0,,direct,1,4,2,0.083,18.937,0.825,151.5,1098.3,0,STENCIL_BF16=1 ./stencil.x -m 0 -n 250 -d 3,XYZ
250,3,compact-r1,1,,compact-r1,4,1,2,0.078,20.161,0.775,161.3,1169.3,0,STENCIL_BF16=1 ./stencil.x -m 1 -n 250 -d 3,XYZ
250,3,compact-r2,2,,compact-r2,2,2,2,0.081,19.236,0.812,153.9,1115.7,0,STENCIL_BF16=1 ./stencil.x -m 2 -n 250 -d 3,XYZ
250,3,compact-r1-trim3,1,3,compact-r1,4,1,2,0.073,21.313,0.733,170.5,1236.2,0,STENCIL_BF16=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 250 -d 3,XYZ
300,3,direct,0,,direct,1,4,2,0.150,17.988,1.501,143.9,1043.3,0,STENCIL_BF16=1 ./stencil.x -m 0 -n 300 -d 3,XYZ
300,3,compact-r1,1,,compact-r1,4,1,2,0.143,18.873,1.431,151.0,1094.6,0,STENCIL_BF16=1 ./stencil.x -m 1 -n 300 -d 3,XYZ
