n,dims,case,method_arg,trim,reported_method,k_steps,r_per_step,strips_per_wg,time_s,gpoints_s,ms_per_step,bandwidth_gbs,gflops_s,returncode,command,layout
50,3,direct,0,,direct,1,4,2,0.013,0.974,0.128,7.8,56.5,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 0 -n 50 -d 3,ZYX +PML
50,3,compact-r1,1,,compact-r1,4,1,2,0.010,1.286,0.097,10.3,74.6,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 1 -n 50 -d 3,ZYX +PML
50,3,compact-r2,2,,compact-r2,2,2,2,0.008,1.599,0.078,12.8,92.7,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 2 -n 50 -d 3,ZYX +PML
50,3,compact-fit-r2,3,,compact-fit,2,2,2,0.008,1.597,0.078,12.8,92.6,0,STENCIL_RADIUS_FIT=2 STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 50 -d 3,ZYX +PML
50,3,compact-fit,3,,compact-fit,2,3,2,0.011,1.121,0.111,9.0,65.0,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 50 -d 3,ZYX +PML
100,3,direct,0,,direct,1,4,2,0.014,7.228,0.138,57.8,419.2,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 0 -n 100 -d 3,ZYX +PML
100,3,compact-r1,1,,compact-r1,4,1,2,0.010,9.770,0.102,78.2,566.7,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 1 -n 100 -d 3,ZYX +PML
100,3,compact-r2,2,,compact-r2,2,2,2,0.009,11.294,0.089,90.4,655.1,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 2 -n 100 -d 3,ZYX +PML
100,3,compact-fit-r2,3,,compact-fit,2,2,2,0.009,11.312,0.088,90.5,656.1,0,STENCIL_RADIUS_FIT=2 STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 100 -d 3,ZYX +PML
100,3,compact-fit,3,,compact-fit,2,3,2,0.012,8.051,0.124,64.4,467.0,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 100 -d 3,ZYX +PML
150,3,direct,0,,direct,1,4,2,0.015,22.435,0.150,179.5,1301.2,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 0 -n 150 -d 3,ZYX +PML
150,3,compact-r1,1,,compact-r1,4,1,2,0.011,30.249,0.112,242.0,1754.4,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 1 -n 150 -d 3,ZYX +PML
150,3,compact-r2,2,,compact-r2,2,2,2,0.011,31.738,0.106,253.9,1840.8,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 2 -n 150 -d 3,ZYX +PML
