n,dims,case,method_arg,trim,reported_method,k_steps,r_per_step,strips_per_wg,time_s,gpoints_s,ms_per_step,bandwidth_gbs,gflops_s,returncode,command,layout
50,3,direct,0,,direct,1,4,2,0.006,1.971,0.063,15.8,114.3,0,./stencil.x -m 0 -n 50 -d 3,XYZ
50,3,compact-r1,1,,compact-r1,4,1,2,0.005,2.773,0.045,22.2,160.8,0,./stencil.x -m 1 -n 50 -d 3,XYZ
50,3,compact-r2,2,,compact-r2,2,2,2,0.004,2.927,0.043,23.4,169.8,0,./stencil.x -m 2 -n 50 -d 3,XYZ
50,3,compact-fit,3,,compact-fit,2,3,2,0.005,2.452,0.051,19.6,142.2,0,./stencil.x -m 3 -n 50 -d 3,XYZ
100,3,direct,0,,direct,1,4,2,0.007,13.973,0.072,111.8,810.4,0,./stencil.x -m 0 -n 100 -d 3,XYZ
100,3,compact-r1,1,,compact-r1,4,1,2,0.005,20.790,0.048,166.3,1205.8,0,./stencil.x -m 1 -n 100 -d 3,XYZ
100,3,compact-r2,2,,compact-r2,2,2,2,0.005,20.915,0.048,167.3,1213.1,0,./stencil.x -m 2 -n 100 -d 3,XYZ
100,3,compact-fit,3,,compact-fit,2,3,2,0.006,16.615,0.060,132.9,963.7,0,./stencil.x -m 3 -n 100 -d 3,XYZ
150,3,direct,0,,direct,1,4,2,0.009,39.535,0.085,316.3,2293.0,0,./stencil.x -m 0 -n 150 -d 3,XYZ
150,3,compact-r1,1,,compact-r1,4,1,2,0.006,60.384,0.056,483.1,3502.3,0,./stencil.x -m 1 -n 150 -d 3,XYZ
150,3,compact-r2,2,,compact-r2,2,2,2,0.006,58.650,0.058,469.2,3401.7,0,./stencil.x -m 2 -n 150 -d 3,XYZ
150,3,compact-fit,3,,compact-fit,2,3,2,0.007,46.330,0.073,370.6,2687.1,0,./stencil.x -m 3 -n 150 -d 3,XYZ
200,3,direct,0,,direct,1,4,2,0.021,38.988,0.205,311.9,2261.3,0,./stencil.x -m 0 -n 200 -d 3,XYZ
200,3,compact-r1,1,,compact-r1,4,1,2,0.014,56.726,0.141,453.8,3290.1,0,./stencil.x -m 1 -n 200 -d 3,XYZ
200,3,compact-r2,2,,compact-r2,2,2,2,0.015,54.882,0.146,439.1,3183.2,0,./stencil.x -m 2 -n 200 -d 3,XYZ
200,3,compact-fit,3,,compact-fit,2,3,2,0.017,47.005,0.170,376.0,2726.3,0,./stencil.x -m 3 -n 200 -d 3,XYZ
