n,dims,case,method_arg,trim,reported_method,k_steps,r_per_step,strips_per_wg,time_s,gpoints_s,ms_per_step,bandwidth_gbs,gflops_s,returncode,command,layout
50,3,direct,0,,direct,1,4,1,0.003,4.750,0.026,38.0,275.5,0,STENCIL_INT8=1 ./stencil.x -m 0 -n 50 -d 3,XYZ
50,3,compact-r1,1,,compact-r1,4,1,1,0.002,5.135,0.024,41.1,297.8,0,STENCIL_INT8=1 ./stencil.x -m 1 -n 50 -d 3,XYZ
50,3,compact-r2,2,,compact-r2,2,2,1,0.003,4.876,0.026,39.0,282.8,0,STENCIL_INT8=1 ./stencil.x -m 2 -n 50 -d 3,XYZ
50,3,compact-r1-trim3,1,3,compact-r1,4,1,1,0.002,5.684,0.022,45.5,329.7,0,STENCIL_INT8=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 50 -d 3,XYZ
100,3,direct,0,,direct,1,4,1,0.012,8.054,0.124,64.4,467.1,0,STENCIL_INT8=1 ./stencil.x -m 0 -n 100 -d 3,XYZ
100,3,compact-r1,1,,compact-r1,4,1,1,0.011,8.865,0.113,70.9,514.2,0,STENCIL_INT8=1 ./stencil.x -m 1 -n 100 -d 3,XYZ
100,3,compact-r2,2,,compact-r2,2,2,1,0.012,8.635,0.116,69.1,500.8,0,STENCIL_INT8=1 ./stencil.x -m 2 -n 100 -d 3,XYZ
100,3,compact-r1-trim3,1,3,compact-r1,4,1,1,0.010,9.785,0.102,78.3,567.5,0,STENCIL_INT8=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 100 -d 3,XYZ
150,3,direct,0,,direct,1,4,1,0.025,13.449,0.251,107.6,780.0,0,STENCIL_INT8=1 ./stencil.x -m 0 -n 150 -d 3,XYZ
150,3,compact-r1,1,,compact-r1,4,1,1,0.024,13.894,0.243,111.2,805.9,0,STENCIL_INT8=1 ./stencil.x -m 1 -n 150 -d 3,XYZ
