DEVICE;TYPEID;M;N;K;S;GFLOPS;BS;BM;BN;BK;WS;WG;LU;NZ;AL;TB;TC;AP;AA;AB;AC
NVIDIA A100 80GB PCIe [0x1f79];3;2;2;2;30000;60.6;9;2;1;2;1;-1;0;0;1;0;1;0;2;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;3;3;3;30000;163.2;9;3;1;3;1;-1;0;0;0;0;1;0;2;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;4;4;30000;464.7;6;1;1;2;1;0;-2;0;0;0;1;0;0;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;4;5;30000;530.7;6;1;1;1;1;-2;-1;0;0;0;1;0;2;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;4;7;30000;387.0;7;4;1;2;1;1;-2;0;0;0;1;0;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;4;9;30000;362.3;10;4;1;3;1;-1;-1;0;1;0;1;0;0;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;4;10;30000;350.8;6;4;1;4;0;0;-1;1;1;1;1;0;1;2;1;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;4;13;30000;799.5;4;1;1;4;1;-1;0;0;0;0;1;0;2;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;4;15;30000;419.2;14;4;1;2;0;-2;-1;1;0;1;1;0;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;4;17;30000;440.3;5;4;1;4;0;-2;-1;1;0;0;1;0;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;4;25;30000;437.7;14;4;1;2;0;0;1;0;0;0;1;1;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;4;26;30000;430.5;14;4;1;3;0;-2;-1;1;0;1;1;1;1;0;1;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;4;28;30000;450.5;6;4;1;2;0;-1;-1;0;1;0;1;1;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;4;32;30000;461.9;3;4;1;4;0;1;-1;0;0;0;1;0;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;5;4;30000;363.8;12;4;1;4;1;1;-1;0;0;0;1;0;0;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;5;5;30000;653.8;9;1;1;1;1;0;1;0;0;0;1;0;0;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;5;7;30000;452.4;6;4;1;2;1;1;0;0;1;0;1;0;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;5;9;30000;498.4;6;4;1;2;1;0;-2;0;0;0;1;0;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;5;13;30000;501.6;4;4;1;4;0;-1;-2;1;0;0;1;0;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;5;17;30000;533.7;5;4;1;2;0;1;-1;0;0;0;1;1;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;5;25;30000;532.4;6;4;1;3;0;-1;-1;0;0;1;0;0;1;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;5;32;30000;979.1;2;1;1;2;1;-2;1;0;0;0;1;0;0;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;7;4;30000;492.6;10;4;1;2;1;1;-1;0;1;0;1;0;0;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;7;5;30000;537.0;18;4;1;2;1;0;-2;0;1;0;1;0;0;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;7;7;30000;592.5;10;4;1;1;1;-1;0;0;1;0;1;0;2;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;7;9;30000;626.0;9;4;1;4;1;0;0;0;1;0;1;0;0;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;7;13;30000;644.0;4;4;1;3;0;1;-2;1;0;0;1;0;1;0;1;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;9;4;30000;616.9;10;4;1;4;1;0;0;0;1;0;1;0;2;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;9;5;30000;672.1;10;4;1;2;1;0;-1;0;1;0;1;0;1;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;9;7;30000;751.7;9;4;1;1;1;0;0;0;0;0;1;0;2;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;9;9;30000;791.9;10;4;1;4;0;1;-2;0;0;0;1;0;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;9;13;30000;879.2;5;4;1;4;0;0;0;0;0;0;1;1;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;10;4;30000;679.8;18;4;1;2;1;1;0;0;0;0;1;0;2;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;10;10;30000;992.5;14;4;1;4;1;0;0;0;0;0;1;0;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;13;4;30000;967.6;12;2;1;3;0;1;0;0;1;0;1;0;0;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;13;5;30000;956.2;16;2;2;4;0;-2;-1;0;1;1;1;0;0;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;13;7;30000;939.3;14;4;1;1;0;2;0;0;0;0;1;0;2;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;13;9;30000;1069.9;7;4;1;3;0;1;-2;1;1;0;1;1;1;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;13;13;30000;1234.5;10;4;1;3;0;-2;-2;0;0;0;1;1;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;13;17;30000;1309.5;10;4;1;2;0;-2;1;0;0;0;1;0;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;13;32;30000;1364.7;15;4;1;4;0;-1;-2;0;0;0;1;0;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;15;4;30000;857.3;20;4;1;1;0;0;0;0;0;1;1;0;0;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;17;4;30000;926.8;22;4;1;2;0;-1;-1;1;0;0;1;0;0;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;17;5;30000;997.9;12;4;1;3;0;1;-2;1;0;0;1;0;1;0;0;0
