DEVICE;TYPEID;M;N;K;S;GFLOPS;BS;BM;BN;BK;WS;WG;LU;NZ;AL;TB;TC;AP;AA;AB;AC
NVIDIA GH200 480GB [0x3528];3;1;1;1;30000;9.7;9;1;1;1;1;-2;-2;0;0;0;1;0;2;1;0;0
NVIDIA GH200 480GB [0x3528];3;2;2;2;30000;74.8;11;2;1;2;2;0;0;0;0;0;1;0;2;0;0;0
NVIDIA GH200 480GB [0x3528];3;3;3;3;30000;232.5;12;3;1;2;3;1;0;0;0;0;1;0;0;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;4;4;30000;451.8;16;4;1;1;4;0;0;0;1;0;1;0;2;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;4;5;30000;479.7;11;4;1;2;4;-1;-1;0;1;0;1;0;0;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;4;7;30000;569.1;12;4;1;3;4;-2;-2;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;4;9;30000;634.7;12;4;1;4;4;0;0;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;4;10;30000;647.8;5;4;1;4;4;0;-1;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;4;13;30000;702.6;4;4;1;3;4;1;-2;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;4;15;30000;729.4;4;4;1;3;4;0;-1;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;4;17;30000;757.0;4;4;1;4;4;0;0;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;4;25;30000;809.8;19;4;1;3;4;-2;-2;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;4;26;30000;830.1;3;4;1;2;4;0;0;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;4;28;30000;828.6;3;4;1;2;4;-1;0;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;4;32;30000;865.3;3;4;1;2;4;-2;-2;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;5;4;30000;517.6;10;4;1;1;5;-2;-2;0;1;0;1;0;0;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;5;5;30000;599.5;11;4;1;3;5;1;-2;0;0;0;1;0;2;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;5;7;30000;709.3;13;4;1;4;5;1;-1;0;0;0;1;0;0;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;5;9;30000;754.6;13;4;1;2;5;1;-1;0;0;0;1;0;0;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;5;13;30000;867.6;5;4;1;2;5;1;-2;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;5;17;30000;928.5;4;4;1;4;5;-1;-1;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;5;25;30000;1000.3;12;4;1;2;5;-1;-1;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;5;32;30000;1053.1;3;4;1;4;5;-1;0;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;7;4;30000;734.4;10;4;1;2;7;-1;0;0;0;0;1;0;0;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;7;5;30000;830.5;11;4;1;3;7;0;0;0;0;0;1;0;2;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;7;7;30000;990.1;13;4;1;2;7;0;0;0;0;0;1;0;2;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;7;9;30000;1061.0;5;4;1;4;7;1;-1;0;0;0;1;0;1;2;0;0
