DEVICE;TYPEID;M;N;K;S;GFLOPS;BS;BM;BN;BK;WS;WG;LU;NZ;AL;TB;TC;AP;AA;AB;AC
NVIDIA H100 PCIe [0xa32d];3;2;2;2;30000;72.9;11;2;1;1;1;-1;0;0;0;0;1;0;2;0;0;0
NVIDIA H100 PCIe [0xa32d];3;3;3;3;30000;211.6;14;3;1;3;1;-1;0;0;0;0;1;0;0;2;0;0
NVIDIA H100 PCIe [0xa32d];3;4;4;4;30000;387.3;17;4;1;4;1;1;-1;0;1;0;1;0;0;2;0;0
NVIDIA H100 PCIe [0xa32d];3;4;4;5;30000;418.1;13;4;1;1;1;1;0;0;0;0;1;0;2;0;0;0
NVIDIA H100 PCIe [0xa32d];3;4;4;7;30000;463.2;11;4;1;1;1;-2;-2;0;0;0;1;0;2;0;0;0
NVIDIA H100 PCIe [0xa32d];3;4;4;9;30000;504.0;7;4;1;4;1;0;-1;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;4;4;10;30000;520.4;5;4;1;4;1;-1;0;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;4;4;13;30000;568.6;6;4;1;3;1;-2;0;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;4;4;15;30000;595.4;11;4;1;3;1;-1;0;0;0;0;1;0;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;4;4;17;30000;609.4;6;4;1;4;1;0;-2;0;0;0;1;0;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;4;4;25;30000;651.1;6;4;1;2;1;-1;1;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;4;4;26;30000;657.2;6;4;1;4;1;-1;-1;0;0;0;1;0;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;4;4;28;30000;657.6;6;4;1;4;1;0;0;0;0;0;1;0;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;4;4;32;30000;673.9;6;4;1;4;1;-1;0;0;0;0;1;0;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;4;5;4;30000;476.9;15;4;1;2;1;-2;-1;0;1;1;1;0;2;0;0;0
NVIDIA H100 PCIe [0xa32d];3;4;5;5;30000;519.2;14;4;1;3;1;1;0;0;0;0;1;0;2;2;0;0
NVIDIA H100 PCIe [0xa32d];3;4;5;7;30000;577.9;12;4;1;1;1;0;-2;0;0;0;1;0;2;0;0;0
NVIDIA H100 PCIe [0xa32d];3;4;5;9;30000;602.1;12;4;1;2;1;-2;-2;0;0;0;1;0;2;0;0;0
NVIDIA H100 PCIe [0xa32d];3;4;5;13;30000;686.9;6;4;1;4;1;-1;-2;0;0;0;1;0;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;4;5;17;30000;743.3;6;4;1;3;1;0;-2;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;4;5;25;30000;734.9;7;4;1;4;1;0;-1;0;0;0;1;0;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;4;5;32;30000;822.0;3;4;1;3;1;0;0;0;0;0;1;0;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;4;7;4;30000;666.1;17;4;1;2;1;-1;0;0;1;1;1;0;0;2;0;0
NVIDIA H100 PCIe [0xa32d];3;4;7;5;30000;716.6;14;4;1;4;1;1;0;1;1;1;1;0;2;2;0;0
NVIDIA H100 PCIe [0xa32d];3;4;7;7;30000;804.0;15;4;1;1;1;-1;0;0;0;0;1;0;2;0;0;0
NVIDIA H100 PCIe [0xa32d];3;4;7;9;30000;867.1;15;4;1;4;1;1;0;0;0;0;1;0;0;0;0;0
NVIDIA H100 PCIe [0xa32d];3;4;7;13;30000;935.2;14;4;1;3;1;1;0;0;0;0;1;0;2;0;0;0
NVIDIA H100 PCIe [0xa32d];3;4;9;4;30000;845.8;15;4;1;2;1;-2;-2;0;1;0;1;0;2;2;0;0
NVIDIA H100 PCIe [0xa32d];3;4;9;5;30000;914.7;12;4;1;2;1;-2;-1;0;0;0;1;0;2;0;0;0
NVIDIA H100 PCIe [0xa32d];3;4;9;7;30000;1019.8;13;4;1;1;1;1;0;0;0;0;1;0;2;2;0;0
NVIDIA H100 PCIe [0xa32d];3;4;9;9;30000;1107.0;12;4;1;4;1;1;0;0;0;0;1;0;0;0;0;0
NVIDIA H100 PCIe [0xa32d];3;4;9;13;30000;1221.2;6;4;1;4;1;0;-1;0;0;0;1;0;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;4;10;4;30000;931.6;18;4;1;4;1;-2;-1;0;1;1;1;0;0;2;0;0
NVIDIA H100 PCIe [0xa32d];3;4;10;10;30000;1222.3;11;4;1;3;1;1;-1;0;0;0;1;0;0;0;0;0
NVIDIA H100 PCIe [0xa32d];3;4;13;4;30000;1170.9;17;4;1;3;1;0;-1;0;0;1;1;0;0;0;0;0
NVIDIA H100 PCIe [0xa32d];3;4;13;5;30000;1276.6;15;4;1;3;1;-2;0;1;0;1;1;0;2;2;0;0
NVIDIA H100 PCIe [0xa32d];3;4;13;7;30000;1432.4;11;4;1;2;1;-1;-1;0;0;0;1;0;0;2;0;0
NVIDIA H100 PCIe [0xa32d];3;4;13;9;30000;1536.2;14;4;1;4;1;-2;0;0;0;0;1;0;2;2;0;0
