DEVICE;TYPEID;M;N;K;S;GFLOPS;BS;BM;BN;BK;WS;WG;LU;NZ;AL;TB;TC;AP;AA;AB;AC
gfx90a [0x989f];3;1;1;1;30000;6.3;8;1;1;1;1;1;-1;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;3;3;3;30000;115.0;9;3;1;2;1;1;-1;0;0;0;1;0;0;2;0;0
gfx90a [0x989f];3;3;3;4;30000;128.6;25;3;1;3;1;0;-1;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;3;3;5;30000;136.7;29;3;1;3;1;-2;-2;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;3;3;6;30000;139.2;29;3;1;2;1;0;-2;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;3;3;7;30000;141.3;29;3;1;3;1;-2;-2;0;0;0;1;0;0;2;0;0
gfx90a [0x989f];3;3;3;8;30000;145.3;9;3;1;2;1;0;0;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;3;3;9;30000;147.4;37;3;1;2;1;-2;0;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;3;3;10;30000;152.2;42;3;1;2;1;1;-2;0;0;0;1;0;0;2;0;0
gfx90a [0x989f];3;3;3;11;30000;146.1;9;3;1;3;1;0;-1;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;3;3;12;30000;147.5;4;3;1;2;1;-2;-1;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;3;3;16;30000;155.7;42;3;1;2;1;1;-2;0;0;0;1;0;0;2;0;0
gfx90a [0x989f];3;3;3;23;30000;154.6;4;3;1;2;1;-2;-2;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;3;4;3;30000;159.9;21;3;1;1;1;-2;0;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;3;4;4;30000;173.3;25;3;1;3;1;0;-1;0;0;0;1;0;0;2;0;0
gfx90a [0x989f];3;3;5;3;30000;194.3;18;3;1;1;1;-1;-2;0;0;0;1;0;0;2;0;0
gfx90a [0x989f];3;3;5;5;30000;219.6;25;3;1;2;1;0;0;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;3;6;3;30000;225.7;18;3;1;3;1;-1;-1;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;3;6;6;30000;268.7;25;3;1;3;1;-1;-2;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;3;7;3;30000;260.6;18;3;1;2;1;0;-1;0;0;0;1;0;0;0;0;0
gfx90a [0x989f];3;3;7;7;30000;322.1;29;3;1;2;1;1;0;0;0;0;1;0;0;0;0;0
gfx90a [0x989f];3;3;8;3;30000;287.3;18;3;1;1;1;-2;-2;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;3;8;8;30000;370.6;29;3;1;2;1;-1;-2;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;3;9;3;30000;316.7;16;3;1;3;1;-2;0;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;3;9;9;30000;397.8;25;3;1;1;1;1;-1;0;0;0;1;0;0;1;0;0
gfx90a [0x989f];3;3;10;3;30000;370.1;15;3;1;2;1;-1;-1;0;0;0;1;0;0;0;0;0
gfx90a [0x989f];3;3;10;10;30000;441.5;9;3;1;1;1;1;-2;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;3;11;3;30000;397.5;15;3;1;3;1;1;-1;0;0;0;1;0;0;2;0;0
gfx90a [0x989f];3;3;11;11;30000;457.8;3;3;1;2;1;-2;-2;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;3;12;3;30000;420.6;15;3;1;1;1;0;0;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;3;12;12;30000;542.7;25;3;1;2;1;0;-1;0;0;0;1;0;2;1;0;0
gfx90a [0x989f];3;3;16;3;30000;551.7;15;3;1;3;1;1;-2;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;3;16;16;30000;714.3;50;3;1;2;1;0;-2;0;0;0;1;0;0;0;0;0
