DEVICE;TYPEID;M;N;K;S;GFLOPS;BS;BM;BN;BK;WS;WG;LU;NZ;AL;TB;TC;AP;AA;AB;AC
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;1;1;1;30000;7.3;4;1;1;1;1;-2;-1;0;0;0;1;0;0;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;2;2;2;30000;57.2;4;2;1;2;2;0;0;0;0;0;1;0;0;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;3;3;1;30000;62.1;10;3;1;1;3;1;0;0;0;0;1;0;0;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;3;3;3;30000;178.4;10;3;1;1;1;-1;0;0;0;0;1;0;2;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;4;4;30000;338.8;10;4;1;1;4;1;-1;0;0;0;1;0;2;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;4;5;30000;406.7;10;4;1;4;1;-2;0;0;1;0;1;0;2;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;4;7;30000;471.0;10;4;1;1;1;-1;0;0;1;0;1;0;2;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;4;9;30000;556.3;10;4;1;4;1;1;0;0;0;0;1;0;2;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;4;10;30000;570.5;10;4;1;4;1;-1;0;0;0;0;1;0;0;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;4;13;30000;651.2;8;4;1;1;1;-1;0;0;1;0;1;0;0;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;4;15;30000;707.8;8;4;1;1;1;-2;0;0;1;0;1;0;0;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;4;17;30000;750.2;8;4;1;1;1;-2;0;0;1;0;1;0;0;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;4;25;30000;809.2;8;4;1;1;1;-2;0;0;0;0;1;0;0;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;4;26;30000;858.1;8;4;1;1;1;-1;0;0;1;0;1;0;0;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;4;28;30000;871.4;8;4;1;1;1;-1;0;0;1;0;1;0;0;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;4;32;30000;897.4;8;4;1;1;1;1;0;0;1;0;1;0;0;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;4;45;30000;889.5;8;4;1;1;4;-1;0;0;0;0;1;0;2;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;5;4;30000;400.8;10;4;1;2;5;0;-1;0;0;0;1;0;0;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;5;5;30000;475.7;10;4;1;2;5;-1;1;0;0;0;1;0;2;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;5;7;30000;556.6;10;4;1;3;5;1;0;0;0;0;1;0;2;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;5;9;30000;700.3;8;4;1;1;1;1;0;0;0;0;1;0;2;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;5;13;30000;842.1;8;4;1;1;1;-2;0;0;0;0;1;0;2;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;5;17;30000;806.8;9;4;1;1;5;-1;0;0;0;0;1;0;2;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;5;25;30000;969.1;8;4;1;1;5;0;0;0;0;0;1;0;0;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;5;26;30000;994.8;8;4;1;1;5;0;0;0;1;0;1;0;0;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;5;28;30000;1007.7;8;4;1;1;5;-1;0;0;0;0;1;0;2;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;5;32;30000;1030.4;8;4;1;1;5;-1;-2;0;0;0;1;0;2;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;5;45;30000;1143.1;8;4;1;1;5;1;0;0;0;0;1;0;2;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;7;4;30000;553.4;10;4;1;1;1;0;-1;0;0;0;1;0;0;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;7;5;30000;659.3;10;4;1;2;1;0;1;0;0;0;1;0;2;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;7;7;30000;766.1;10;4;1;3;1;0;-1;0;0;0;1;0;0;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;7;9;30000;915.9;10;4;1;2;7;1;0;0;1;0;1;0;2;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;7;13;30000;1007.9;10;4;1;1;7;-2;-2;0;0;0;1;0;2;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;7;25;30000;1321.7;8;4;1;1;7;-1;-2;0;0;0;1;0;0;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;7;26;30000;1332.6;8;4;1;1;7;-2;0;0;0;0;1;0;0;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;7;28;30000;1324.6;8;4;1;1;7;0;0;0;0;0;1;0;0;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;7;32;30000;1377.1;8;4;1;1;7;-1;-1;0;0;0;1;0;0;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;7;45;30000;1529.3;8;4;1;1;7;1;0;0;0;0;1;0;2;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;9;4;30000;618.4;11;4;1;3;1;0;0;0;0;0;1;0;2;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;9;5;30000;738.1;11;4;1;2;9;-2;0;0;0;0;1;0;0;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;9;7;30000;872.7;10;4;1;3;1;1;0;0;0;0;1;0;2;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;9;9;30000;1020.4;11;4;1;2;1;-1;0;0;0;0;1;0;2;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;9;13;30000;1143.9;10;4;1;1;1;1;0;0;0;0;1;0;0;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;9;25;30000;1374.4;8;4;1;1;9;0;-2;0;0;0;1;0;2;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;9;26;30000;1400.8;8;4;1;1;9;-1;0;0;0;0;1;0;0;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;9;28;30000;1404.4;8;4;1;1;9;0;0;0;0;0;1;0;0;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;9;32;30000;1445.6;8;4;1;1;9;0;-1;0;0;0;1;0;2;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;9;45;30000;1498.9;8;4;1;1;9;1;0;0;0;0;1;0;2;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;10;4;30000;685.6;15;4;1;2;10;-2;0;0;1;0;1;0;2;2;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;10;10;30000;1211.8;10;4;1;2;1;-2;0;0;1;0;1;0;0;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;10;15;30000;1340.7;8;4;1;1;10;-2;0;0;0;0;1;0;2;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;13;4;30000;824.9;11;4;1;3;13;1;-2;0;0;0;1;0;2;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;13;5;30000;986.6;12;4;1;1;13;1;-2;0;0;0;1;0;0;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;13;7;30000;1170.8;11;4;1;1;1;1;0;0;1;0;1;0;0;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;13;9;30000;1364.1;15;4;1;4;13;1;0;0;0;0;1;0;0;0;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;13;13;30000;1535.5;15;4;1;1;13;-1;0;0;0;0;1;0;2;0;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;13;17;30000;1633.7;15;4;1;1;13;1;0;0;1;0;1;0;0;2;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;13;25;30000;1760.1;15;4;1;1;13;-2;0;0;0;0;1;0;0;2;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;13;26;30000;1743.8;15;4;1;1;13;-1;0;0;1;0;1;0;0;2;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;13;28;30000;1801.9;8;4;1;1;13;-2;0;0;0;0;1;0;0;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;13;32;30000;1859.6;8;4;1;1;13;1;-1;0;0;0;1;0;0;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;13;45;30000;1911.1;8;4;1;1;13;-1;-2;0;0;0;1;0;0;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;15;4;30000;964.4;15;4;1;2;15;-2;0;0;1;0;1;0;0;2;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;15;10;30000;1598.9;15;4;1;3;15;-1;0;0;1;0;1;0;0;2;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;15;15;30000;1748.1;15;4;1;1;15;0;-1;0;0;0;1;0;0;2;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;17;4;30000;972.0;12;4;1;2;1;-2;-1;0;0;0;1;0;2;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;17;5;30000;1116.0;15;4;1;4;17;-2;0;0;1;0;1;0;0;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;17;13;30000;1678.7;15;4;1;1;17;1;0;0;1;0;1;0;0;0;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;17;17;30000;1751.9;15;4;1;1;17;1;0;0;1;0;1;0;0;0;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;17;32;30000;1856.9;8;4;1;1;1;0;0;0;0;0;1;0;2;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;25;4;30000;1231.9;15;4;1;3;1;0;-1;0;0;0;1;0;0;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;25;5;30000;1407.7;15;4;1;3;1;-2;0;0;0;0;1;0;2;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;25;7;30000;1647.1;15;4;1;2;25;0;0;0;0;0;1;0;0;2;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;25;9;30000;1851.8;15;4;1;2;25;0;0;0;0;0;1;0;2;0;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;25;13;30000;1976.7;15;4;1;1;25;-1;0;0;0;0;1;0;0;0;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;25;25;30000;2113.6;15;4;1;1;25;-1;0;0;1;0;1;0;2;0;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;25;26;30000;2126.8;15;4;1;1;25;-1;0;0;0;0;1;0;0;0;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;25;28;30000;2109.0;15;4;1;1;25;0;-1;0;0;0;1;0;0;0;0;1
